name,desc,size,price,url
Sunrise On the Potomac,"Shades of pink draw out the early autumn colors of the Blue Ridge Mountains.  Taken near Harpers Ferry, WV.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604dd3e4b0e6b1f4e09ed0/1449151976709/DSC_0622+%282%29.jpg?format=1000w
Tree Bones,"Bleached white by the searing sun, engrained with red dust, this tree stump stands against the harsh landscape of norhern Ghana.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604de3e4b0e6b1f4e09f7b/1449151994664/DSC_0629+%283%29.JPG?format=1000w
Ice Over Harpers Ferry,"A freezing rain coated the hills surrounding the little town of Harpers Ferry, WV.",16 inches x 4 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604dfee4b0e6b1f4e0a01e/1449152014873/DSC_0805+%283%29.JPG?format=1500w
Frosted Trees,"Ice coats the trees and mist creeps through the frigid air.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604e14e4b0e6b1f4e0a097/1449152042681/DSC_0849+%284%29.JPG?format=1500w
"Harpers Ferry, WV","Nestled between the Shenandoah and Potomac rivers, Harpers Ferry National Historical Park is a hidden gem of great cutural and historical importance.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604e0be4b0e6b1f4e0a067/1449152025112/DSC_0818+%285%29.JPG?format=1000w
"Panoramic Harpers Ferry, WV","Nestled between the Shenandoah and Potomac rivers, Harpers Ferry National Historical Park is a hidden gem of great cutural and historical importance.",16 inches x 4 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604e6fe4b0e6b1f4e0a327/1449152133933/IMG_20141123_123641559-PANO.jpg?format=1500w
Harpers Ferry in Winter,"Red bricks and grey slate pop out against the dusting of snow. A lull sets upon the town as the history seeps through it.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604e26e4b0e6b1f4e0a12c/1449152070829/DSC_0882+%284%29.JPG?format=1000w
Water Hole,"Water cascades over and through the rock, streaming off the surface and shooting through holes.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604e42e4b0e6b1f4e0a1e7/1449152078060/DSC_0917+%283%29.JPG?format=1000w
Strangler Fig,"The Australian Strangler Fig is a parasitic plant that layers its vines over an existing tree.  It leeches nutrients from that tree to support the fig's growth eventually killing the host tree.  The tree then rots away leaving a hollow column of living latticework.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604e58e4b0e6b1f4e0a297/1449152104755/DSC_1309+%282%29.JPG?format=1000w
"Lake Maspenock, MA","Warming temperatures and melting snow produced clouds of mist flowing over the lake.  The last rays of the setting sun diffused through the fog producing a tranquil blue glow.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604e65e4b0e6b1f4e0a2db/1449152114391/DSC_1394+%282%29.jpg?format=1000w
Lakeside View,"Rolling hills and Oak trees surround the crystal clear water of this northern California lake.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604e83e4b0e6b1f4e0a3a1/1449152148055/Intern+Island+028+-+Copy+%282%29.JPG?format=1000w
Resting Sunbeams,"Light filters through the trees illuminating the gravesites of the Harper Cemetary, in Harpers Ferry, WV",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604e90e4b0e6b1f4e0a3ff/1449152177356/MillsH_HAFE_HarperCemetary_20140910_01Edit.JPEG.JPG?format=1000w
Tree in Window,"An old glass window pinpoints the leaves on an autumn tree.",8 inches x 8 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604eade4b0e6b1f4e0a4bd/1449152180923/MillsH_HAFE_HarperHouse_20141015_01Edit.JPEG.JPG?format=750w
"Sky Meadows State Park, VA","A barn rests at the base of the Blue Ridge Mountains.",12 inches x 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604d0ce4b0e6b1f4e0995c/1449151787271/DSC_0037+%282%29.JPG?format=1000w
Australian Sunset,"The sunset always looks a little different away from home.",12 inches by 9 inches,19.95,http://static1.squarespace.com/static/555e9fb9e4b0e15bc3f57ead/56604cf7e4b066b69a929d1e/56604db1e4b0e6b1f4e09ddf/1449151939855/DSC_0285+%283%29.JPG?format=1000w
